Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2012-01-06,16567.69,False
1,2,2012-01-06,44481.38,False
1,3,2012-01-06,13926.04,False
1,4,2012-01-06,40925.76,False
1,5,2012-01-06,23105.81,False
1,6,2012-01-06,3665.25,False
1,7,2012-01-06,12377.76,False
1,8,2012-01-06,36797.0,False
1,9,2012-01-06,20705.21,False
1,10,2012-01-06,29927.33,False
1,11,2012-01-06,25666.34,False
1,12,2012-01-06,7634.97,False
1,13,2012-01-06,41411.4,False
1,14,2012-01-06,14585.64,False
1,16,2012-01-06,6258.08,False
1,17,2012-01-06,8086.43,False
1,18,2012-01-06,7018.32,False
1,19,2012-01-06,607.22,False
1,20,2012-01-06,3246.33,False
1,21,2012-01-06,7154.5,False
1,22,2012-01-06,8998.71,False
1,23,2012-01-06,17203.25,False
1,24,2012-01-06,4539.89,False
1,25,2012-01-06,7359.16,False
1,26,2012-01-06,4220.51,False
1,27,2012-01-06,1788.6,False
1,28,2012-01-06,557.94,False
1,29,2012-01-06,4174.68,False
1,30,2012-01-06,2425.04,False
1,31,2012-01-06,2039.49,False
1,32,2012-01-06,5821.95,False
1,33,2012-01-06,3959.05,False
1,34,2012-01-06,9246.0,False
1,35,2012-01-06,2013.82,False
1,36,2012-01-06,949.95,False
1,37,2012-01-06,2963.19,False
1,38,2012-01-06,90770.82,False
1,40,2012-01-06,65669.34,False
1,41,2012-01-06,187.03,False
1,42,2012-01-06,8150.14,False
1,44,2012-01-06,3865.21,False
1,45,2012-01-06,11.97,False
1,46,2012-01-06,16758.49,False
1,48,2012-01-06,1291.0,False
1,49,2012-01-06,11945.79,False
1,52,2012-01-06,1466.0,False
1,54,2012-01-06,20.12,False
1,55,2012-01-06,13677.11,False
1,56,2012-01-06,568.29,False
1,58,2012-01-06,3400.0,False
1,59,2012-01-06,293.24,False
1,60,2012-01-06,1284.8,False
1,67,2012-01-06,4138.5,False
1,71,2012-01-06,2951.08,False
1,72,2012-01-06,39235.39,False
1,74,2012-01-06,13944.25,False
1,79,2012-01-06,42842.53,False
1,80,2012-01-06,18903.84,False
1,81,2012-01-06,29522.11,False
1,82,2012-01-06,20019.69,False
1,83,2012-01-06,6213.61,False
1,85,2012-01-06,3437.73,False
1,87,2012-01-06,56985.41,False
1,90,2012-01-06,91629.16,False
1,91,2012-01-06,68373.27,False
1,92,2012-01-06,148782.83,False
1,93,2012-01-06,78517.16,False
